experiment,method,seed,step,loss
drift,lambda_learned_cue,2,360,0.027705296874046326
drift,lambda_innovation_ablation,2,1,0.18026958405971527
drift,lambda_innovation_ablation,2,15,0.1545591652393341
drift,lambda_innovation_ablation,2,30,0.1317046880722046
drift,lambda_innovation_ablation,2,45,0.11125920712947845
drift,lambda_innovation_ablation,2,60,0.09653489291667938
drift,lambda_innovation_ablation,2,75,0.07665185630321503
drift,lambda_innovation_ablation,2,90,0.07368794083595276
drift,lambda_innovation_ablation,2,105,0.06611931324005127
drift,lambda_innovation_ablation,2,120,0.06693156063556671
drift,lambda_innovation_ablation,2,135,0.07181592285633087
drift,lambda_innovation_ablation,2,150,0.06638962030410767
drift,lambda_innovation_ablation,2,165,0.06466459482908249
drift,lambda_innovation_ablation,2,180,0.06788381934165955
drift,lambda_innovation_ablation,2,195,0.06872119009494781
drift,lambda_innovation_ablation,2,210,0.06332220137119293
drift,lambda_innovation_ablation,2,225,0.0611175000667572
drift,lambda_innovation_ablation,2,240,0.05866692587733269
drift,lambda_innovation_ablation,2,255,0.053503841161727905
drift,lambda_innovation_ablation,2,270,0.04622823745012283
drift,lambda_innovation_ablation,2,285,0.04214578494429588
drift,lambda_innovation_ablation,2,300,0.04342605918645859
drift,lambda_innovation_ablation,2,315,0.03937650844454765
drift,lambda_innovation_ablation,2,330,0.040752045810222626
drift,lambda_innovation_ablation,2,345,0.041441336274147034
drift,lambda_innovation_ablation,2,360,0.03697063773870468
drift,lambda_oracle_change,2,1,0.21918122470378876
drift,lambda_oracle_change,2,15,0.18276052176952362
drift,lambda_oracle_change,2,30,0.1368592381477356
drift,lambda_oracle_change,2,45,0.11795492470264435
drift,lambda_oracle_change,2,60,0.09312769770622253
drift,lambda_oracle_change,2,75,0.07733165472745895
drift,lambda_oracle_change,2,90,0.0576489195227623
drift,lambda_oracle_change,2,105,0.04693414270877838
drift,lambda_oracle_change,2,120,0.04343260079622269
drift,lambda_oracle_change,2,135,0.035599395632743835
drift,lambda_oracle_change,2,150,0.029088502749800682
drift,lambda_oracle_change,2,165,0.028877785429358482
drift,lambda_oracle_change,2,180,0.0258503220975399
drift,lambda_oracle_change,2,195,0.026278680190443993
drift,lambda_oracle_change,2,210,0.026608992367982864
drift,lambda_oracle_change,2,225,0.029146812856197357
drift,lambda_oracle_change,2,240,0.025510301813483238
drift,lambda_oracle_change,2,255,0.027358602732419968
drift,lambda_oracle_change,2,270,0.026352405548095703
drift,lambda_oracle_change,2,285,0.023684224113821983
drift,lambda_oracle_change,2,300,0.02601168118417263
drift,lambda_oracle_change,2,315,0.025374885648489
drift,lambda_oracle_change,2,330,0.028505444526672363
drift,lambda_oracle_change,2,345,0.02750810980796814
drift,lambda_oracle_change,2,360,0.02555135451257229
joint,joint_fixed,0,1,0.247452974319458
joint,joint_fixed,0,15,0.22344443202018738
joint,joint_fixed,0,30,0.20201897621154785
joint,joint_fixed,0,45,0.18510615825653076
joint,joint_fixed,0,60,0.18285386264324188
joint,joint_fixed,0,75,0.17457261681556702
joint,joint_fixed,0,90,0.17221973836421967
joint,joint_fixed,0,105,0.1790170669555664
joint,joint_fixed,0,120,0.17186111211776733
joint,joint_fixed,0,135,0.16664139926433563
joint,joint_fixed,0,150,0.16428840160369873
joint,joint_fixed,0,165,0.15953491628170013
joint,joint_fixed,0,180,0.16602377593517303
joint,joint_fixed,0,195,0.16628526151180267
joint,joint_fixed,0,210,0.1672172248363495
joint,joint_fixed,0,225,0.16246430575847626
joint,joint_fixed,0,240,0.16975006461143494
joint,joint_fixed,0,255,0.165126234292984
joint,joint_fixed,0,270,0.1729593575000763
joint,joint_fixed,0,285,0.17311573028564453
joint,joint_fixed,0,300,0.17091691493988037
joint,joint_fixed,0,315,0.15729382634162903
joint,joint_fixed,0,330,0.1649293601512909
joint,joint_fixed,0,345,0.1679508090019226
joint,joint_fixed,0,360,0.1659851372241974
joint,joint_learned,0,1,0.2492930144071579
joint,joint_learned,0,15,0.21957719326019287
joint,joint_learned,0,30,0.2126070261001587
joint,joint_learned,0,45,0.18975171446800232
joint,joint_learned,0,60,0.17750310897827148
joint,joint_learned,0,75,0.1811123788356781
joint,joint_learned,0,90,0.17423981428146362
joint,joint_learned,0,105,0.1726713627576828
joint,joint_learned,0,120,0.1738295555114746
joint,joint_learned,0,135,0.16045701503753662
joint,joint_learned,0,150,0.17387843132019043
joint,joint_learned,0,165,0.17390215396881104
joint,joint_learned,0,180,0.17157673835754395
joint,joint_learned,0,195,0.17328226566314697
joint,joint_learned,0,210,0.18284016847610474
joint,joint_learned,0,225,0.17122749984264374
joint,joint_learned,0,240,0.1645277589559555
joint,joint_learned,0,255,0.15839646756649017
joint,joint_learned,0,270,0.1751420497894287
joint,joint_learned,0,285,0.16397812962532043
joint,joint_learned,0,300,0.16014555096626282
joint,joint_learned,0,315,0.16600504517555237
joint,joint_learned,0,330,0.1509704738855362
joint,joint_learned,0,345,0.14482039213180542
joint,joint_learned,0,360,0.1294388771057129
joint,joint_oracle,0,1,0.22246012091636658
joint,joint_oracle,0,15,0.19887012243270874
joint,joint_oracle,0,30,0.18352745473384857
joint,joint_oracle,0,45,0.173729807138443
joint,joint_oracle,0,60,0.14583615958690643
joint,joint_oracle,0,75,0.14146219193935394
joint,joint_oracle,0,90,0.12457038462162018
joint,joint_oracle,0,105,0.1294349879026413
joint,joint_oracle,0,120,0.11483071744441986
joint,joint_oracle,0,135,0.10654038190841675
joint,joint_oracle,0,150,0.10218743979930878
joint,joint_oracle,0,165,0.10863443464040756
joint,joint_oracle,0,180,0.10668987035751343
joint,joint_oracle,0,195,0.10527656972408295
joint,joint_oracle,0,210,0.11017102003097534
joint,joint_oracle,0,225,0.1088874563574791
joint,joint_oracle,0,240,0.10862123221158981
joint,joint_oracle,0,255,0.10542400181293488
joint,joint_oracle,0,270,0.11220596730709076
joint,joint_oracle,0,285,0.10370253771543503
joint,joint_oracle,0,300,0.10241758823394775
joint,joint_oracle,0,315,0.11185726523399353
joint,joint_oracle,0,330,0.09698896110057831
joint,joint_oracle,0,345,0.10356585681438446
joint,joint_oracle,0,360,0.10648256540298462
joint,joint_fixed,1,1,0.23546135425567627
joint,joint_fixed,1,15,0.21257159113883972
joint,joint_fixed,1,30,0.18183808028697968
joint,joint_fixed,1,45,0.1936500519514084
joint,joint_fixed,1,60,0.18387749791145325
joint,joint_fixed,1,75,0.16719672083854675
joint,joint_fixed,1,90,0.17450301349163055
joint,joint_fixed,1,105,0.17231950163841248
joint,joint_fixed,1,120,0.16247235238552094
joint,joint_fixed,1,135,0.16408300399780273
joint,joint_fixed,1,150,0.17138227820396423
joint,joint_fixed,1,165,0.16922669112682343
joint,joint_fixed,1,180,0.17167338728904724
joint,joint_fixed,1,195,0.16092033684253693
joint,joint_fixed,1,210,0.16606272757053375
joint,joint_fixed,1,225,0.16758987307548523
joint,joint_fixed,1,240,0.17605099081993103
joint,joint_fixed,1,255,0.16797029972076416
joint,joint_fixed,1,270,0.17720405757427216
joint,joint_fixed,1,285,0.16958878934383392
joint,joint_fixed,1,300,0.1766434907913208
joint,joint_fixed,1,315,0.17191001772880554
joint,joint_fixed,1,330,0.17429012060165405
joint,joint_fixed,1,345,0.17847572267055511
joint,joint_fixed,1,360,0.1700226068496704
joint,joint_learned,1,1,0.20518700778484344
joint,joint_learned,1,15,0.18337532877922058
joint,joint_learned,1,30,0.18412244319915771
joint,joint_learned,1,45,0.17213992774486542
joint,joint_learned,1,60,0.1653558909893036
joint,joint_learned,1,75,0.16401225328445435
joint,joint_learned,1,90,0.1702287197113037
joint,joint_learned,1,105,0.16149604320526123
joint,joint_learned,1,120,0.1579023003578186
joint,joint_learned,1,135,0.14788717031478882
joint,joint_learned,1,150,0.15522190928459167
joint,joint_learned,1,165,0.1416732668876648
joint,joint_learned,1,180,0.13532312214374542
joint,joint_learned,1,195,0.1274631917476654
joint,joint_learned,1,210,0.1123242899775505
joint,joint_learned,1,225,0.11331784725189209
joint,joint_learned,1,240,0.11731048673391342
joint,joint_learned,1,255,0.10592170804738998
joint,joint_learned,1,270,0.10917110741138458
joint,joint_learned,1,285,0.10405578464269638
joint,joint_learned,1,300,0.1034059226512909
joint,joint_learned,1,315,0.09888821840286255
joint,joint_learned,1,330,0.10253947228193283
joint,joint_learned,1,345,0.10096555203199387
joint,joint_learned,1,360,0.09527210891246796
joint,joint_oracle,1,1,0.22111943364143372
joint,joint_oracle,1,15,0.21436366438865662
joint,joint_oracle,1,30,0.18765316903591156
joint,joint_oracle,1,45,0.16691216826438904
joint,joint_oracle,1,60,0.14933842420578003
joint,joint_oracle,1,75,0.14143842458724976
joint,joint_oracle,1,90,0.13259796798229218
joint,joint_oracle,1,105,0.11606496572494507
joint,joint_oracle,1,120,0.11766624450683594
joint,joint_oracle,1,135,0.11740851402282715
joint,joint_oracle,1,150,0.10242515057325363
joint,joint_oracle,1,165,0.10945665836334229
joint,joint_oracle,1,180,0.10238905251026154
joint,joint_oracle,1,195,0.10989250242710114
joint,joint_oracle,1,210,0.09267698228359222
joint,joint_oracle,1,225,0.10936998575925827
joint,joint_oracle,1,240,0.10844825208187103
joint,joint_oracle,1,255,0.09948490560054779
joint,joint_oracle,1,270,0.10188629478216171
joint,joint_oracle,1,285,0.10248683393001556
joint,joint_oracle,1,300,0.10856766998767853
joint,joint_oracle,1,315,0.10518311709165573
joint,joint_oracle,1,330,0.10652967542409897
joint,joint_oracle,1,345,0.10912184417247772
joint,joint_oracle,1,360,0.10633044689893723
joint,joint_fixed,2,1,0.22859607636928558
joint,joint_fixed,2,15,0.20196807384490967
joint,joint_fixed,2,30,0.19155381619930267
joint,joint_fixed,2,45,0.1820439100265503
joint,joint_fixed,2,60,0.16532763838768005
joint,joint_fixed,2,75,0.17554926872253418
joint,joint_fixed,2,90,0.16038718819618225
joint,joint_fixed,2,105,0.17349205911159515
joint,joint_fixed,2,120,0.16490578651428223
joint,joint_fixed,2,135,0.17123925685882568
joint,joint_fixed,2,150,0.17142948508262634
joint,joint_fixed,2,165,0.17070052027702332
joint,joint_fixed,2,180,0.17258024215698242
joint,joint_fixed,2,195,0.1623949557542801
joint,joint_fixed,2,210,0.17309163510799408
joint,joint_fixed,2,225,0.16364946961402893
joint,joint_fixed,2,240,0.161940798163414
joint,joint_fixed,2,255,0.16093158721923828
joint,joint_fixed,2,270,0.16500324010849
joint,joint_fixed,2,285,0.16892290115356445
joint,joint_fixed,2,300,0.17085787653923035
joint,joint_fixed,2,315,0.16928277909755707
joint,joint_fixed,2,330,0.16859328746795654
joint,joint_fixed,2,345,0.1692933738231659
joint,joint_fixed,2,360,0.16526946425437927
joint,joint_learned,2,1,0.21708321571350098
joint,joint_learned,2,15,0.19478671252727509
joint,joint_learned,2,30,0.19263935089111328
joint,joint_learned,2,45,0.1763996183872223
joint,joint_learned,2,60,0.1677493453025818
joint,joint_learned,2,75,0.16959038376808167
joint,joint_learned,2,90,0.16330772638320923
joint,joint_learned,2,105,0.15815402567386627
joint,joint_learned,2,120,0.15404728055000305
joint,joint_learned,2,135,0.14376279711723328
joint,joint_learned,2,150,0.14251935482025146
joint,joint_learned,2,165,0.14411860704421997
joint,joint_learned,2,180,0.13545837998390198
joint,joint_learned,2,195,0.11878256499767303
joint,joint_learned,2,210,0.10638956725597382
joint,joint_learned,2,225,0.1040070503950119
joint,joint_learned,2,240,0.1098233088850975
joint,joint_learned,2,255,0.10390213131904602
joint,joint_learned,2,270,0.10182137787342072
joint,joint_learned,2,285,0.10483803600072861
joint,joint_learned,2,300,0.11035620421171188
joint,joint_learned,2,315,0.09848511219024658
joint,joint_learned,2,330,0.10165178775787354
joint,joint_learned,2,345,0.09937392920255661
joint,joint_learned,2,360,0.10272680968046188
joint,joint_oracle,2,1,0.20766691863536835
joint,joint_oracle,2,15,0.17392605543136597
joint,joint_oracle,2,30,0.17436957359313965
joint,joint_oracle,2,45,0.1752537339925766
joint,joint_oracle,2,60,0.1699906587600708
joint,joint_oracle,2,75,0.1683216392993927
joint,joint_oracle,2,90,0.16177873313426971
joint,joint_oracle,2,105,0.1364753693342209
joint,joint_oracle,2,120,0.12863236665725708
joint,joint_oracle,2,135,0.1119680255651474
joint,joint_oracle,2,150,0.10517420619726181
joint,joint_oracle,2,165,0.11185633391141891
joint,joint_oracle,2,180,0.09960001707077026
joint,joint_oracle,2,195,0.10543175786733627
joint,joint_oracle,2,210,0.10485982894897461
joint,joint_oracle,2,225,0.10452036559581757
joint,joint_oracle,2,240,0.11081051826477051
joint,joint_oracle,2,255,0.10425412654876709
joint,joint_oracle,2,270,0.11293410509824753
joint,joint_oracle,2,285,0.11635014414787292
joint,joint_oracle,2,300,0.1039133071899414
joint,joint_oracle,2,315,0.10635964572429657
joint,joint_oracle,2,330,0.11880035698413849
joint,joint_oracle,2,345,0.10872535407543182
joint,joint_oracle,2,360,0.1050659716129303
